activity_id,name,start_date,sport_type,distance,workout_time_min,calories,total_elevation_gain,start_lat,start_long,end_lat,end_long,average_speed_km/h,max_speed_km/h,average_temp,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score,effort_score,effort_score_label,effort_score_rank
8794698723,Evening Workout,2023-03-28,Functional-Cardio Workout,0,32.7,331,0,,NaN,,NaN,0,0,28,138.5,168,5.438333333,6,1,25,35,1,15,25,5,35,1,1,144,Medium Effort,3
8789089604,Evening Workout,2023-03-27,Functional-Cardio Workout,0,27.27,320,0,,NaN,,NaN,0,0,31,143.5,170,5.444,5,1,20,35,1,15,25,5,25,1,1,129,Medium Effort,3
8771323929,Afternoon Workout,2023-03-24,Functional-Cardio Workout,0,23.32,264,0,,NaN,,NaN,0,0,34,143.7,171,3.878333333,6,1,15,25,1,15,25,1,35,1,1,120,Low Effort,2
8766877503,Evening Workout,2023-03-23,Functional-Cardio Workout,0,38.32,377,0,,NaN,,NaN,0,0,34,133.5,171,7.654,5,1,30,35,1,15,25,5,25,1,1,139,Medium Effort,3
8760859967,Afternoon Workout,2023-03-22,Functional-Cardio Workout,0,29.08,361,0,,NaN,,NaN,0,0,34,152,184,5.802,5,1,20,35,1,20,30,5,25,1,1,139,Medium Effort,3
8749434921,Afternoon Workout,2023-03-20,Functional-Cardio Workout,0,55.62,461,0,,NaN,,NaN,0,0,24,141.3,184,9.265,6,1,45,40,1,15,30,5,35,1,1,174,High Effort,4
8726475508,Afternoon Workout,2023-03-16,Functional-Cardio Workout,0,21.72,247,0,,NaN,,NaN,0,0,29,139.6,165,4.336,5,1,15,25,1,15,25,1,25,1,1,110,Low Effort,2
8721204362,Afternoon Workout,2023-03-15,Functional-Cardio Workout,0,34.07,323,0,,NaN,,NaN,0,0,30,132.2,170,6.808,5,1,25,35,1,15,25,5,25,1,1,134,Medium Effort,3
8715744482,Afternoon Mountain Bike Ride,2023-03-14,MountainBikeRide,19.84,95.3,571,260,30.40146061,-97.68447661,30.40148257,-97.68487383,14.2632,34.7184,22,117.6,144,31.75,3,25,50,50,15,10,15,20,10,20,25,240,High Effort,4
8710745438,Afternoon Workout,2023-03-13,Functional-Cardio Workout,0,46.5,371,0,,NaN,,NaN,0,0,27,127.2,163,9.294,5,1,40,35,1,10,15,5,25,1,1,134,Medium Effort,3
8698197610,Lunch Workout,2023-03-11,Functional-Cardio Workout,0,31.3,332,0,,NaN,,NaN,0,0,29,144.2,173,6.254,5,1,25,35,1,15,25,5,25,1,1,134,Medium Effort,3
8693453841,Afternoon Hike,2023-03-10,Hike,8.78,186.55,893,452,30.27608042,-97.82364202,30.27573642,-97.82339014,3.8916,8.1432,30,113.7,152,186.55,1,5,50,80,25,10,15,20,5,5,10,225,High Effort,4
8688907431,Afternoon Mountain Bike Ride,2023-03-09,MountainBikeRide,13.48,75.07,513,160,30.40142516,-97.68480602,30.40150453,-97.68491331,13.0644,26.7336,29,125.9,156,37.525,2,20,50,50,10,10,15,20,5,15,20,215,High Effort,4
