,activity_id,sport_type,distance,workout_time_min,calories,total_elevation_gain,average_speed_km/h,max_speed_km/h,average_heartrate,max_heartrate,avg_time_per_lap,lap_count,distance_score,workout_time_score,calorie_score,total_elevation_gain_score,average_heartrate_score,max_heartrate_score,avg_time_per_lap_score,lap_count_score,avg_speed_score,max_speed_score
51,8522824035,Functional-Cardio Workout,0.0,58.52,562.0,0.0,0.0,0.0,141.2,169.0,14.62,4,1,45,50,1,15,25,10,20,1,1
52,8517243835,Functional-Cardio Workout,0.0,29.45,330.0,0.0,0.0,0.0,141.5,168.0,5.884,5,1,20,35,1,15,25,5,25,1,1
53,8517243161,Run,1.79,10.33,135.0,26.0,10.404,15.523200000000001,152.9,170.0,5.175,2,5,5,15,5,20,25,5,5,30,20
54,8504441796,Run,10.83,66.47,893.0,57.0,9.7848,16.8984,168.5,195.0,6.037272727,11,25,50,80,5,35,35,5,35,25,20
55,8499814764,Functional-Cardio Workout,0.0,36.85,271.0,0.0,0.0,0.0,128.3,171.0,6.14,6,1,30,25,1,10,25,5,35,1,1
56,8495754250,Functional-Cardio Workout,0.0,31.9,396.0,0.0,0.0,0.0,149.3,174.0,5.311666667,6,1,25,35,1,20,25,5,35,1,1
57,8490538352,Functional-Cardio Workout,0.0,41.6,457.0,0.0,0.0,0.0,145.7,179.0,6.923333333,6,1,35,40,1,20,30,5,35,1,1
58,8484883685,Functional-Cardio Workout,0.0,20.03,185.0,0.0,0.0,0.0,126.3,150.0,4.002,5,1,15,15,1,10,15,1,25,1,1
59,8484745146,Run,7.05,55.42,573.0,77.0,8.708400000000001,18.4968,151.5,169.0,6.91875,8,10,45,50,5,20,25,5,35,15,20
60,8479818986,Functional-Cardio Workout,0.0,42.6,454.0,0.0,0.0,0.0,139.2,174.0,7.095,6,1,35,40,1,15,25,5,35,1,1
61,8465791898,Functional-Cardio Workout,0.0,24.97,234.0,0.0,0.0,0.0,128.7,159.0,4.982,5,1,15,25,1,10,15,1,25,1,1
62,8461910392,Functional-Cardio Workout,0.0,31.8,285.0,0.0,0.0,0.0,130.8,172.0,15.895,2,1,25,25,1,15,25,10,5,1,1
63,8457098599,Functional-Cardio Workout,0.0,36.15,375.0,0.0,0.0,0.0,139.7,175.0,5.158571429,7,1,30,35,1,15,30,5,35,1,1
64,8452224343,Ride,0.0,33.88,220.0,0.0,0.0,0.0,110.2,136.0,33.88,1,1,25,25,1,10,15,20,5,5,5
65,8446679630,Functional-Cardio Workout,0.0,49.67,495.0,0.0,0.0,0.0,137.9,171.0,7.085714286,7,1,40,40,1,15,25,5,35,1,1
66,8439721111,Yoga,0.0,37.3,119.0,0.0,0.0,0.0,86.3,115.0,37.3,1,1,30,15,1,5,10,20,5,1,1
67,8429193772,Run,16.04,104.88,1275.0,79.0,9.6516,12.884400000000001,156.5,181.0,6.161764706,17,30,50,100,5,30,30,5,35,25,15
68,8424857940,Functional-Cardio Workout,0.0,31.57,229.0,0.0,0.0,0.0,115.9,154.0,15.785,2,1,25,25,1,10,15,10,5,1,1
69,8419959787,Functional-Cardio Workout,0.0,77.7,667.0,0.0,0.0,0.0,136.6,169.0,12.945,6,1,50,60,1,15,25,10,35,1,1
70,8415022100,TrailRun,4.86,39.73,404.0,92.0,8.017199999999999,13.1256,146.5,161.0,9.93,4,5,30,40,5,20,15,5,20,15,15
71,8409055741,Functional-Cardio Workout,0.0,76.75,825.0,0.0,0.0,0.0,150.2,179.0,15.338,5,1,50,80,1,20,30,10,25,1,1
72,8403997888,Functional-Cardio Workout,0.0,61.48,586.0,0.0,0.0,0.0,143.0,181.0,10.24166667,6,1,50,50,1,15,30,10,35,1,1
73,8398211855,Run,8.73,57.55,726.0,90.0,9.3024,20.2392,160.3,178.0,6.386666667,9,10,45,70,5,30,30,5,35,25,0
74,8397964746,Functional-Cardio Workout,0.0,14.65,191.0,0.0,0.0,0.0,151.2,174.0,14.65,1,1,5,15,1,20,25,10,5,1,1
75,8387758742,Functional-Cardio Workout,0.0,33.48,258.0,0.0,0.0,0.0,118.6,157.0,8.365,4,1,25,25,1,10,15,5,20,1,1
76,8382922540,Run,12.36,89.93,997.0,130.0,8.3484,22.982400000000002,151.5,179.0,6.91,13,25,50,90,10,20,30,5,35,15,0
77,8377330507,MountainBikeRide,12.44,62.42,510.0,169.0,12.736799999999999,35.5176,126.9,159.0,31.185,2,20,50,50,10,10,15,20,5,15,30
78,8371717528,Functional-Cardio Workout,0.0,26.02,289.0,0.0,0.0,0.0,137.4,163.0,8.66,3,1,20,25,1,15,15,5,10,1,1
79,8366744076,Functional-Cardio Workout,0.0,31.57,311.0,0.0,0.0,0.0,137.3,173.0,5.253333333,6,1,25,35,1,15,25,5,35,1,1
80,8361203713,Functional-Cardio Workout,0.0,32.68,310.0,0.0,0.0,0.0,138.6,174.0,16.345,2,1,25,35,1,15,25,10,5,1,1
81,8349952043,Functional-Cardio Workout,0.0,48.33,361.0,0.0,0.0,0.0,124.2,176.0,16.10666667,3,1,40,35,1,10,30,10,10,1,1
